patent_id,inventor_sequence,inventor_id,disambig_inventor_name_first,disambig_inventor_name_last,male_flag,attribution_status,location_id
6214547,0,fl:th_ln:kjeldsen-4,Thomas B.o slashed.rglum,Kjeldsen,1.0,1,43b3adc7-16c8-11ed-9b5f-1234bde3cd05
11410724,1,fl:da_ln:kim-334,Daehyun,Kim,1.0,1,6e3ea082-49af-11ed-9879-1234bde3cd05
4932215,0,fl:hi_ln:kanazawa-21,Hidetoshi,Kanazawa,1.0,1,a11bd34e-16c8-11ed-9b5f-1234bde3cd05
11270816,0,fl:he_ln:kim-210,Hee Gyu,Kim,,98,3eb30168-16c8-11ed-9b5f-1234bde3cd05
11428329,0,fl:br_ln:slattery-4,Brian,Slattery,1.0,1,ef615408-16c7-11ed-9b5f-1234bde3cd05
D906457,0,fl:ja_ln:lambeth-2,Jacob,LAMBETH,1.0,1,198a3cb5-16c8-11ed-9b5f-1234bde3cd05
6375929,2,fl:co_ln:goldman-2,Corey Keith,Goldman,1.0,1,e310704c-16c7-11ed-9b5f-1234bde3cd05
7227183,2,fl:te_ln:kueper-1,Terrance Wayne,Kueper,1.0,1,df5dffc5-16c7-11ed-9b5f-1234bde3cd05
7878888,0,fl:ne_ln:rasmussen-2,Neil,Rasmussen,1.0,1,0becf5ff-16c8-11ed-9b5f-1234bde3cd05
6723897,4,fl:eu_ln:logusch-1,Eugene W.,Logusch,1.0,1,8bf5b0c0-16c8-11ed-9b5f-1234bde3cd05
9259414,3,fl:je_ln:nelson-7,Jennifer Leigh,Nelson,0.0,1,e8c9e3ec-16c7-11ed-9b5f-1234bde3cd05
6619388,1,fl:ro_ln:rademaker-1,Robert A.,Rademaker,1.0,1,d7d64960-16c7-11ed-9b5f-1234bde3cd05
11280209,1,fl:sc_ln:virkler-1,Scott D.,Virkler,1.0,1,0d3e037d-16c8-11ed-9b5f-1234bde3cd05
11398844,1,fl:mo_ln:mikhemar-1,Mohyee,Mikhemar,,99,
6917043,1,fl:la_ln:baylor-1,Larry R.,Baylor,1.0,1,f2ddf8dd-16c7-11ed-9b5f-1234bde3cd05
6793384,0,fl:te_ln:ban-3,Tetsuo,Ban,1.0,1,34b4468e-16c8-11ed-9b5f-1234bde3cd05
6634371,3,fl:ha_ln:okornschmidt-1,Harald,Okorn-Schmidt,1.0,1,0d40001a-16c8-11ed-9b5f-1234bde3cd05
10947944,2,fl:ir_ln:hartung-1,Iris,Hartung,0.0,1,11a568b0-16c8-11ed-9b5f-1234bde3cd05
8486970,1,fl:it_ln:shimada-1,Itsuro,Shimada,1.0,1,42f90495-16c8-11ed-9b5f-1234bde3cd05
11335265,1,fl:ku_ln:peng-51,Kuanjun,Peng,,98,3b444e27-16c8-11ed-9b5f-1234bde3cd05
9635350,2,fl:ky_ln:lim-30,Kyu-Hun,Lim,1.0,1,7656abd1-16c8-11ed-9b5f-1234bde3cd05
D382504,0,fl:fl_ln:strasser-1,Florian,Strasser,1.0,1,2ff97973-16c8-11ed-9b5f-1234bde3cd05
9127208,0,fl:da_ln:boulard-1,David,Boulard,1.0,1,1ab02271-16c8-11ed-9b5f-1234bde3cd05
10517901,1,fl:ev_ln:kroon-1,Evert,Kroon,1.0,1,1893009c-16c8-11ed-9b5f-1234bde3cd05
6638695,0,fl:mi_ln:simons-4,Michael J.,Simons,1.0,1,3d88aa1b-16c8-11ed-9b5f-1234bde3cd05
11379818,1,fl:da_ln:ourada-1,Daniel J.,OURADA,1.0,1,c3f6934b-16c7-11ed-9b5f-1234bde3cd05
10232746,0,fl:sh_ln:fujishiro-1,Shun,Fujishiro,1.0,1,4b0034da-16c8-11ed-9b5f-1234bde3cd05
11065580,4,fl:ta_ln:kitade-1,Tamotsu,Kitade,1.0,1,8951b130-16c8-11ed-9b5f-1234bde3cd05
6475760,7,fl:in_ln:freund-1,Ingo,Freund,1.0,1,282f47e8-16c8-11ed-9b5f-1234bde3cd05
10096695,0,fl:zh_ln:bi-13,Zhenxing,Bi,,98,08805fd5-16c8-11ed-9b5f-1234bde3cd05
9854152,2,fl:ji_ln:jang-50,Jin Beum,Jang,1.0,1,75436e0d-16c8-11ed-9b5f-1234bde3cd05
10248765,5,fl:za_ln:morrison-1,Zachary,Morrison,1.0,1,4affd925-16c8-11ed-9b5f-1234bde3cd05
9506196,5,fl:me_ln:simpson-1,Metric M.,Simpson,0.0,1,ec2f0cf3-16c7-11ed-9b5f-1234bde3cd05
10764517,0,fl:gi_ln:stein-3,Gideon,Stein,1.0,1,55531389-16c8-11ed-9b5f-1234bde3cd05
11168257,4,fl:mi_ln:fischer-4,Mila,Fischer,0.0,1,e0718052-16c7-11ed-9b5f-1234bde3cd05
5087153,0,fl:ro_ln:washburn-7,Robert B.,Washburn,1.0,1,1ac6cccb-16c8-11ed-9b5f-1234bde3cd05
9526912,2,fl:st_ln:woods-12,Stanley P.,Woods,,99,c6a61746-16c7-11ed-9b5f-1234bde3cd05
8132893,3,fl:ki_ln:silverbrook-1,Kia,Silverbrook,0.0,1,bab1d2db-16c7-11ed-9b5f-1234bde3cd05
9333776,0,fl:da_ln:block-8,David,Block,1.0,1,c2332dcc-16c7-11ed-9b5f-1234bde3cd05
6342622,4,fl:ge_ln:gruter-1,Gerardus Johannes Maria,Gruter,1.0,1,23539cc8-16c8-11ed-9b5f-1234bde3cd05
11305537,4,fl:ri_ln:seaver-2,Richard,Seaver,1.0,1,c4358674-16c7-11ed-9b5f-1234bde3cd05
8841449,0,fl:je_ln:charrier-5,Jean-Damien,Charrier,1.0,1,39a7ac2f-16c8-11ed-9b5f-1234bde3cd05
7257832,2,fl:ro_ln:stone-11,Robert M.,Stone,1.0,1,17f7f348-16c8-11ed-9b5f-1234bde3cd05
10722809,8,fl:jo_ln:yi-1,Jo Un,Yi,,98,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
9733539,1,fl:zh_ln:ling-1,Zhihua,Ling,1.0,1,35a7da9f-16c8-11ed-9b5f-1234bde3cd05
6479243,1,fl:jo_ln:sorge-2,Joseph A.,Sorge,1.0,1,c2e24e95-16c7-11ed-9b5f-1234bde3cd05
9757340,0,fl:ba_ln:merillon-1,Baptiste,Merillon,1.0,1,173808ad-16c8-11ed-9b5f-1234bde3cd05
9315410,0,fl:ch_ln:kogge-1,Chris Scott,Kogge,1.0,1,f03a939a-16c7-11ed-9b5f-1234bde3cd05
6800501,2,fl:no_ln:muraki-4,Noritaka,Muraki,,99,39bc2127-16c8-11ed-9b5f-1234bde3cd05
5792251,3,fl:ra_ln:lemley-1,Randy,Lemley,1.0,1,bc499e29-16c7-11ed-9b5f-1234bde3cd05
7511064,3,fl:ma_ln:froimowitz-1,Mark,Froimowitz,1.0,1,0c2c7297-16c8-11ed-9b5f-1234bde3cd05
9884352,0,fl:ra_ln:cooper-19,Randall,Cooper,1.0,1,a11d0d93-16c8-11ed-9b5f-1234bde3cd05
4036981,0,fl:ma_ln:goldenberg-1,Marvin M.,Goldenberg,1.0,1,015cf003-16c8-11ed-9b5f-1234bde3cd05
10641454,0,fl:sa_ln:kikuchi-17,Satoshi,Kikuchi,1.0,1,a11beeb4-16c8-11ed-9b5f-1234bde3cd05
D352149,0,fl:te_ln:nelson-7,Terry N.,Nelson,1.0,1,d804796c-16c7-11ed-9b5f-1234bde3cd05
6039917,0,fl:jo_ln:morando-1,Jorge A.,Morando,1.0,1,e586b3a3-16c7-11ed-9b5f-1234bde3cd05
11211986,3,fl:ju_ln:cezanne-1,Juergen,Cezanne,1.0,1,258fb6cc-16c8-11ed-9b5f-1234bde3cd05
10034375,2,fl:ya_ln:alnahhas-1,Yazan Z.,Alnahhas,1.0,1,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
5005450,0,fl:ve_ln:ford-1,Vernon James,"Ford, Jr.",1.0,1,0078de6b-16c8-11ed-9b5f-1234bde3cd05
11217322,4,fl:ho_ln:wang-140,Hongmei,Wang,0.0,1,8e6e9342-16c8-11ed-9b5f-1234bde3cd05
6330204,0,fl:ma_ln:miyagi-4,Masanori,Miyagi,1.0,1,6de5356f-16c8-11ed-9b5f-1234bde3cd05
9225655,4,fl:sa_ln:hill-18,Sammie Walter,Hill,1.0,1,3d7cf203-16c8-11ed-9b5f-1234bde3cd05
6741122,1,fl:le_ln:lin-36,Lei,Lin,1.0,1,13f05eea-16c8-11ed-9b5f-1234bde3cd05
5245346,6,xhxexf597mthnhrr9jty16fgt,Souichi,Isikawa,1.0,1,4b0034da-16c8-11ed-9b5f-1234bde3cd05
6375595,2,fl:ko_ln:ishikawa-13,Kouji,Ishikawa,1.0,1,2202d346-16c8-11ed-9b5f-1234bde3cd05
10038116,3,fl:yi_ln:su-97,Ying-Yong,Su,,99,90eaa921-16c8-11ed-9b5f-1234bde3cd05
7056884,3,fl:su_ln:horinouchi-1,Sueharu,Horinouchi,,99,42f90495-16c8-11ed-9b5f-1234bde3cd05
8616609,3,fl:ma_ln:suzuki-67,Masayuki,Suzuki,,98,73b3e8fd-16c8-11ed-9b5f-1234bde3cd05
8874454,1,fl:dr_ln:cross-1,Drew,Cross,1.0,1,cca4eec9-16c7-11ed-9b5f-1234bde3cd05
9159148,1,fl:jo_ln:trenouth-1,John,Trenouth,1.0,1,86dd30c2-16c8-11ed-9b5f-1234bde3cd05
H710,1,fl:br_ln:heydlauff-1,Bruce M.,Heydlauff,1.0,1,c6b2fdb1-16c7-11ed-9b5f-1234bde3cd05
4024403,2,fl:pa_ln:halter-1,Paul Herbert,Halter,1.0,1,e8c44888-16c7-11ed-9b5f-1234bde3cd05
11202745,2,fl:ka_ln:yamada-11,Kayo,Yamada,1.0,1,1c0a3d5a-16c8-11ed-9b5f-1234bde3cd05
4912328,0,fl:ma_ln:kato-31,Makoto,Kato,,98,1c0a3d5a-16c8-11ed-9b5f-1234bde3cd05
9608854,1,fl:ma_ln:juvvadi-1,Manasa,Juvvadi,0.0,1,91d6a346-16c8-11ed-9b5f-1234bde3cd05
6815225,4,fl:se_ln:han-85,Seung Kyu,Han,,99,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
6031316,0,fl:ke_ln:kataoka-19,Kenichi,Kataoka,1.0,1,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
8176524,1,fl:ch_ln:ngo-7,Chiu,Ngo,0.0,1,4affd925-16c8-11ed-9b5f-1234bde3cd05
6162481,4,fl:jo_ln:baur-1,Joachim N. C.,Baur,1.0,1,a63ff126-16c8-11ed-9b5f-1234bde3cd05
11373232,0,fl:te_ln:sanghavi-1,Tejas,Sanghavi,,98,4affd925-16c8-11ed-9b5f-1234bde3cd05
7382479,0,fl:ak_ln:hirose-3,Akira,Hirose,0.0,1,1c0a3d5a-16c8-11ed-9b5f-1234bde3cd05
D287184,0,fl:ca_ln:sironi-1,Carlo G.,Sironi,1.0,1,9378b6e9-16c8-11ed-9b5f-1234bde3cd05
6434417,0,fl:er_ln:lovett-1,Eric G.,Lovett,1.0,1,d3f0aaf0-16c7-11ed-9b5f-1234bde3cd05
6183848,1,fl:bo_ln:sublett-1,Bobby J.,Sublett,1.0,1,ebadff41-16c7-11ed-9b5f-1234bde3cd05
D343924,0,fl:ma_ln:kaplan-17,Mark,Kaplan,1.0,1,05e48672-16c8-11ed-9b5f-1234bde3cd05
8074205,2,fl:na_ln:ganapathy-3,Narayanan,Ganapathy,1.0,1,816d1200-16c8-11ed-9b5f-1234bde3cd05
7381491,0,fl:pa_ln:seshadri-2,Parthasarathy,Seshadri,1.0,1,0e41114f-16c8-11ed-9b5f-1234bde3cd05
5360642,3,fl:ja_ln:o'connor-10,James M.,O'Connor,1.0,1,09c8bab7-16c8-11ed-9b5f-1234bde3cd05
10365026,5,fl:mo_ln:jung-29,Moon Gyo,Jung,0.0,1,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
5798249,1,fl:ly_ln:murry-1,Lynn E.,Murry,0.0,1,c2e22c7f-16c7-11ed-9b5f-1234bde3cd05
8025899,4,fl:ul_ln:reinhold-1,Ulrich,Reinhold,1.0,1,2b46fc78-16c8-11ed-9b5f-1234bde3cd05
9269988,3,fl:hi_ln:takenaka-13,Hiroe,Takenaka,1.0,1,8bf1ea14-16c8-11ed-9b5f-1234bde3cd05
3948090,1,fl:ch_ln:nash-7,Charles F.,Nash,0.0,1,0e401d75-16c8-11ed-9b5f-1234bde3cd05
6195140,0,fl:ma_ln:kubo-19,Masumi,Kubo,1.0,1,1bdd4dcf-16c8-11ed-9b5f-1234bde3cd05
4458744,1,fl:ga_ln:ungarean-1,Gary L.,Ungarean,1.0,1,086ef0a4-16c8-11ed-9b5f-1234bde3cd05
6050682,1,fl:wi_ln:childers-7,Winthrop D.,Childers,1.0,1,1893009c-16c8-11ed-9b5f-1234bde3cd05
6065340,1,fl:gu_ln:varty-1,Guy Thomas,Varty,1.0,1,c3f6661c-16c7-11ed-9b5f-1234bde3cd05
7074051,1,fl:mi_ln:mchugh-6,Michael Patrick,McHugh,1.0,1,42d7fa8d-16c8-11ed-9b5f-1234bde3cd05
D793262,2,fl:yi_ln:brodetsky-1,Yigal,Brodetsky,1.0,1,4f3051a9-16c8-11ed-9b5f-1234bde3cd05
4432275,0,fl:ge_ln:zekert-2,Gerhard C.,Zekert,1.0,1,fe38a50a-16c7-11ed-9b5f-1234bde3cd05
9274469,2,fl:su_ln:yang-182,Suxia,Yang,1.0,1,f8bc137b-16c7-11ed-9b5f-1234bde3cd05
T954004,0,fl:wi_ln:dickason-1,William C.,Dickason,1.0,1,ebadff41-16c7-11ed-9b5f-1234bde3cd05
6958463,0,fl:er_ln:kochman-1,Eric,Kochman,1.0,1,e4235a04-16c7-11ed-9b5f-1234bde3cd05
D366627,0,fl:bu_ln:eddy-1,Burgener,Eddy,,99,2ce49a98-16c8-11ed-9b5f-1234bde3cd05
4438006,1,fl:ch_ln:tamborski-1,Christ,Tamborski,1.0,1,f7cc6da7-16c7-11ed-9b5f-1234bde3cd05
5835442,0,fl:ja_ln:joseph-3,James D.,Joseph,1.0,1,db7d9a2f-16c7-11ed-9b5f-1234bde3cd05
4799950,0,fl:ak_ln:suzuki-7,Akinori,Suzuki,1.0,1,6de5356f-16c8-11ed-9b5f-1234bde3cd05
10343803,0,fl:pa_ln:scarabelli-1,Paolo,Scarabelli,1.0,1,9c51f216-16c8-11ed-9b5f-1234bde3cd05
10970503,1,fl:ig_ln:vinogradov-1,Igor,Vinogradov,1.0,1,0d3dab31-16c8-11ed-9b5f-1234bde3cd05
9965088,4,fl:yo_ln:wu-136,Yong,Wu,,98,35a7da9f-16c8-11ed-9b5f-1234bde3cd05
7342067,0,fl:yo_ln:hama-5,Yoshinori,Hama,1.0,1,f88a7530-16c7-11ed-9b5f-1234bde3cd05
4676021,0,ryt7nw9o7gu0hu91883xvo5fo,Ronald E.,Groba,1.0,1,dba0b825-16c7-11ed-9b5f-1234bde3cd05
5357035,5,fl:ro_ln:borchardt-6,Ronald L.,Borchardt,1.0,1,d6f48e6f-16c7-11ed-9b5f-1234bde3cd05
4820929,1,fl:r._ln:johnson-16,R. Barry,Johnson,1.0,1,e114e000-16c7-11ed-9b5f-1234bde3cd05
8430237,0,fl:an_ln:westenberger-1,Andreas,Westenberger,1.0,1,230cfb15-16c8-11ed-9b5f-1234bde3cd05
11360255,1,fl:ye_ln:jung-39,Yeoun-Jei,Jung,0.0,1,9a944c1d-16c8-11ed-9b5f-1234bde3cd05
11032682,1,fl:se_ln:kim-436,Seongwon,Kim,1.0,1,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
10130148,1,fl:yi_ln:chan-39,Yick Fai,Chan,1.0,1,a004806f-16c8-11ed-9b5f-1234bde3cd05
10550115,2,fl:ga_ln:ledouaron-1,Gael,Le Douaron,1.0,1,44f194ef-16c8-11ed-9b5f-1234bde3cd05
10422485,1,fl:fl_ln:bosl-1,Florian,Bösl,1.0,1,3310d28d-16c8-11ed-9b5f-1234bde3cd05
4173750,0,fl:ju_ln:riba-2,Jutta,Riba,1.0,1,2d65a301-16c8-11ed-9b5f-1234bde3cd05
7027390,5,fl:sh_ln:ohtani-15,Shiro,Ohtani,1.0,1,9ded7488-16c8-11ed-9b5f-1234bde3cd05
7136356,1,fl:it_ln:mimura-1,Itaru,Mimura,1.0,1,a421076a-16c8-11ed-9b5f-1234bde3cd05
7226129,1,fl:ma_ln:kneif-1,Markus,Kneif,1.0,1,984a5a67-16c8-11ed-9b5f-1234bde3cd05
9080439,2,fl:yi_ln:xu-102,YingQing,Xu,1.0,1,ca22ab34-16c7-11ed-9b5f-1234bde3cd05
9232247,1,fl:se_ln:hong-200,Seungwook,Hong,1.0,1,1893009c-16c8-11ed-9b5f-1234bde3cd05
9645469,2,fl:ch_ln:baudot-1,Charles,Baudot,1.0,1,6954da1a-16c8-11ed-9b5f-1234bde3cd05
11348578,1,fl:ch_ln:yeh-440,Chung-Chih,Yeh,,98,907f9ab3-16c8-11ed-9b5f-1234bde3cd05
6861423,1,fl:ja_ln:dunn-12,James Patrick,Dunn,1.0,1,b86c5343-16c7-11ed-9b5f-1234bde3cd05
7407093,1,fl:ra_ln:beck-5,Randall G.,Beck,0.0,1,c6c57f89-16c7-11ed-9b5f-1234bde3cd05
10494214,2,fl:je_ln:rasmussen-9,Jens Peder,Rasmussen,1.0,1,43b4eb98-16c8-11ed-9b5f-1234bde3cd05
8763119,0,fl:ch_ln:sample-4,Char,Sample,0.0,1,fbad5ffb-16c7-11ed-9b5f-1234bde3cd05
5640436,1,fl:ke_ln:sekihara-1,Kensuke,Sekihara,1.0,1,cc9030a5-16c7-11ed-9b5f-1234bde3cd05
4809035,0,fl:jo_ln:allen-59,Joseph,Allen,1.0,1,ef5fcd54-16c7-11ed-9b5f-1234bde3cd05
7929371,0,fl:ei_ln:suetsugu-1,Eiji,Suetsugu,1.0,1,b24d6bc6-16c7-11ed-9b5f-1234bde3cd05
7981525,4,fl:sh_ln:okada-21,Shinjiro,Okada,,98,22046d10-16c8-11ed-9b5f-1234bde3cd05
10285175,4,fl:ho_ln:nikopour-1,Hosein,Nikopour,1.0,1,13f05eea-16c8-11ed-9b5f-1234bde3cd05
9284479,1,fl:ku_ln:teke-1,Kushabhau D.,Teke,,99,119ae6d0-16c8-11ed-9b5f-1234bde3cd05
5949319,1,fl:wo_ln:endres-1,Wolfgang,Endres,1.0,1,2b28b70d-16c8-11ed-9b5f-1234bde3cd05
6252509,0,fl:yv_ln:hester-2,Yvette,Hester,0.0,1,05db869e-16c8-11ed-9b5f-1234bde3cd05
8445779,0,fl:th_ln:gretz-1,Thomas J.,Gretz,1.0,1,f50a34bb-16c7-11ed-9b5f-1234bde3cd05
5815403,1,fl:ja_ln:koford-1,James S.,Koford,1.0,1,13f05eea-16c8-11ed-9b5f-1234bde3cd05
9186843,0,fl:le_ln:chan-7,Leo L.,Chan,0.0,1,0e5b67a1-16c8-11ed-9b5f-1234bde3cd05
10117430,7,fl:rh_ln:suizacosare-1,Rhoel,Suiza Cosare,,99,1e2447d0-16c8-11ed-9b5f-1234bde3cd05
10810525,0,fl:ro_ln:cruickshank-1,Robert F.,"Cruickshank, III",1.0,1,0e4065d7-16c8-11ed-9b5f-1234bde3cd05
4038528,0,fl:jo_ln:fowler-10,John T.,Fowler,1.0,1,086f48b7-16c8-11ed-9b5f-1234bde3cd05
4755393,0,fl:sh_ln:toba-2,Shigeru,Toba,,99,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
4388932,0,fl:he_ln:merritt-1,Henry B.,Merritt,1.0,1,3f9a4f99-16c8-11ed-9b5f-1234bde3cd05
7862034,0,fl:yu_ln:kobayashi-32,Yusuke,Kobayashi,,98,a05a52f6-16c8-11ed-9b5f-1234bde3cd05
10178852,0,fl:al_ln:wendling-1,Allan,Wendling,1.0,1,f2bfaaa2-16c7-11ed-9b5f-1234bde3cd05
8596351,1,fl:ga_ln:leone-1,Gaston,Leone,1.0,1,ce826197-16c7-11ed-9b5f-1234bde3cd05
7472098,2,fl:ke_ln:carsten-1,Keith,Carsten,,98,c59b5fa8-16c7-11ed-9b5f-1234bde3cd05
6921847,2,fl:mi_ln:kolomiets-1,Mikhailo,Kolomiets,1.0,1,d22cd096-16c7-11ed-9b5f-1234bde3cd05
9542472,2,fl:jo_ln:luftglidden-1,Joshua James,Luft-Glidden,1.0,1,4affd925-16c8-11ed-9b5f-1234bde3cd05
5960495,1,fl:ch_ln:pan-93,Chin-Hsiang,Pan,1.0,1,b5c9a039-16c7-11ed-9b5f-1234bde3cd05
7549531,2,fl:da_ln:ertel-3,Daniel E.,Ertel,1.0,1,e6abbb2a-16c7-11ed-9b5f-1234bde3cd05
4009812,0,fl:he_ln:keuchel-1,Herbert W.,Keuchel,1.0,1,f5288243-16c7-11ed-9b5f-1234bde3cd05
6017575,0,fl:sh_ln:kurosaki-2,Shin,Kurosaki,1.0,1,b47a5f39-16c7-11ed-9b5f-1234bde3cd05
9449921,3,fl:sh_ln:mochizuki-12,Shogo,Mochizuki,,98,66ed009b-16c8-11ed-9b5f-1234bde3cd05
8565954,1,fl:da_ln:berry-20,Daniel J.,Berry,1.0,1,f541c96c-16c7-11ed-9b5f-1234bde3cd05
9416630,0,fl:wo_ln:vanderzee-1,Wouter,Van Der Zee,1.0,1,4e24f5cd-16c8-11ed-9b5f-1234bde3cd05
4191901,0,fl:he_ln:branover-1,Herman,Branover,1.0,1,9fe7099b-16c8-11ed-9b5f-1234bde3cd05
4988052,0,fl:er_ln:urban-1,Ernst-Gunther,Urban,1.0,1,2c12c563-16c8-11ed-9b5f-1234bde3cd05
7667408,0,fl:jo_ln:melanson-3,John L.,Melanson,1.0,1,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
D701283,0,fl:ju_ln:vera-1,Julian Arnedo,Vera,1.0,1,e070fd5c-16c7-11ed-9b5f-1234bde3cd05
D748706,0,fl:yu_ln:ominami-1,Yusuke,Ominami,1.0,1,42f90495-16c8-11ed-9b5f-1234bde3cd05
8420932,1,fl:ke_ln:watanabe-32,Keiichiro,Watanabe,1.0,1,8bf2508a-16c8-11ed-9b5f-1234bde3cd05
11296019,0,fl:kw_ln:tan-8,Kwang Hong,Tan,1.0,1,8801128f-16c8-11ed-9b5f-1234bde3cd05
7859101,1,fl:re_ln:khan-10,Reza-ur Rahman,Khan,1.0,1,c2e2593f-16c7-11ed-9b5f-1234bde3cd05
9464743,0,fl:jo_ln:schutte-4,Joseph P.,Schutte,1.0,1,ec47e271-16c7-11ed-9b5f-1234bde3cd05
7889233,2,fl:th_ln:moxon-1,Thomas,Moxon,1.0,1,c6d1fc1a-16c7-11ed-9b5f-1234bde3cd05
7289926,2,fl:ji_ln:qi-38,Jieming,Qi,,99,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
9028457,1,fl:ba_ln:hecker-1,Barry F.,Hecker,1.0,1,e5a15c37-16c7-11ed-9b5f-1234bde3cd05
7847402,9,fl:jo_ln:widodo-1,Johnny,Widodo,1.0,1,8801128f-16c8-11ed-9b5f-1234bde3cd05
7058596,1,fl:pa_ln:pretto-1,Paul A.,Pretto,1.0,1,ef24e429-16c7-11ed-9b5f-1234bde3cd05
