patent_id,citation_sequence,citation_document_number,citation_date,record_name,wipo_kind,citation_category
9996977,146,2012/0127164,2012-05-01,Rhee et al.,A1,cited by applicant
8930544,104,2007/0288588,2007-12-01,Wein et al.,A1,cited by applicant
10605184,23,2014/0109870,2014-04-01,Glugla,A1,cited by examiner
10880916,1,2019/0150176,2019-05-01,Pelletier,A1,cited by examiner
10880281,101,2015/0095970,2015-04-01,Shetty et al.,A1,cited by applicant
9208597,39,2007/0185881,2007-08-01,Vienneau et al.,A1,cited by applicant
10671633,0,2012/0162225,2012-06-01,Yang,A1,cited by examiner
9383917,319,2012/0162266,2012-06-01,Douglas et al.,A1,cited by applicant
10741597,2,2014/0160327,2014-06-01,Enoki et al.,A1,cited by applicant
10849687,75,2003/0057875,2003-03-01,Inochkin et al.,A1,cited by applicant
7291775,9,2003/0173473,2003-09-01,Mackay et al.,A1,cited by examiner
8635637,24,2011/0038547,2011-02-01,Hill,A1,cited by applicant
10858888,15,2016/0160562,2016-06-01,Cheng,A1,cited by examiner
9201384,0,2006/0239771,2006-10-01,Hayashi et al.,A1,cited by examiner
11265647,1,2009/0028345,2009-01-01,Jung et al.,A1,cited by applicant
10627180,0,2003/0145718,2003-08-01,Hausken et al.,A1,cited by applicant
7933476,21,2002/0052392,2002-05-01,Day et al.,A1,cited by other
8307066,1,2003/0050977,2003-03-01,Puthenkulam et al.,A1,cited by examiner
10521662,22,2013/0185790,2013-07-01,Mckeeth,A1,cited by applicant
8338647,2,2010/0305363,2010-12-01,Hirota et al.,A1,cited by other
9138165,148,2007/0129629,2007-06-01,Beauregard et al.,A1,cited by applicant
10510659,55,2008/0112146,2008-05-01,Beaman et al.,A1,cited by applicant
8148115,3,2010/0028980,2010-02-01,Hasson et al.,A1,cited by examiner
10470972,288,2014/0229023,2014-08-01,Bomholt et al.,A1,cited by applicant
7542436,3,2004/0088148,2004-05-01,Szymanski et al.,A1,cited by examiner
10085328,63,2011/0175699,2011-07-01,Huss et al.,A1,cited by applicant
10702437,16,2009/0040366,2009-02-01,Voelker,A1,cited by applicant
7157317,0,2001/0030322,2001-10-01,Yamazaki et al.,A1,cited by other
9913656,44,2004/0199193,2004-10-01,Hayashi et al.,A1,cited by applicant
10722285,17,2007/0175963,2007-08-01,Bilotti,A1,cited by applicant
9629060,1,2012/0246325,2012-09-01,Pancorbo Marcos,A1,cited by examiner
8150329,2,2007/0147485,2007-06-01,Sakamoto et al.,A1,cited by examiner
10231237,6,2016/0205574,2016-07-01,Behravan,A1,cited by examiner
8508913,3,2008/0123249,2008-05-01,Kunishi et al.,A1,cited by applicant
11355338,2812,2019/0032998,2019-01-01,Jdira et al.,A1,cited by applicant
9675953,2,2011/0190561,2011-08-01,Bulut et al.,A1,cited by applicant
9307544,289,2004/0136344,2004-07-01,Kim et al.,A1,cited by applicant
9693898,58,2015/0342678,2015-12-01,Deladurantaye et al.,A1,cited by applicant
10248793,4,2004/0230764,2004-11-01,Merchant et al.,A1,cited by applicant
10394778,0,2001/0034733,2001-10-01,Prompt et al.,A1,cited by applicant
11366792,0,2001/0027460,2001-10-01,Yamamoto et al.,A1,cited by applicant
8949844,5,2005/0183065,2005-08-01,Wolczko et al.,A1,cited by examiner
11202916,5,2016/0287883,2016-10-01,Barry et al.,A1,cited by applicant
11423713,9,2020/0193742,2020-06-01,Horabin,A1,cited by examiner
10860346,46,2018/0225285,2018-08-01,Anglin,A1,cited by examiner
11060687,0,2005/0180158,2005-08-01,Komatsu,A1,cited by examiner
9333324,23,2009/0105645,2009-04-01,Kidd et al.,A1,cited by applicant
9410166,46,2013/0316414,2013-11-01,Paul et al.,A1,cited by applicant
10185746,18,2012/0047147,2012-02-01,Redstone et al.,A1,cited by applicant
10982449,45,2005/0138881,2005-06-01,Pervan,A1,cited by applicant
8751315,111,2008/0126145,2008-05-01,"Rackley, III et al.",A1,cited by examiner
10707270,0,2007/0254428,2007-11-01,Willer et al.,A1,cited by applicant
10400158,7,2017/0088768,2017-03-01,Al-Otaibi,A1,cited by applicant
10095772,22,2015/0310754,2015-10-01,Bilic,A1,cited by examiner
8311061,48,2008/0212513,2008-09-01,Tao et al.,A1,cited by other
10931018,149,2020/0176848,2020-06-01,Bennett et al.,A1,cited by applicant
9755245,2,2006/0159980,2006-07-01,Pak et al.,A1,cited by examiner
D865982,0,2017/0087047,2017-03-01,Fuster,A1,cited by applicant
8025695,79,2010/0249894,2010-09-01,Oba et al.,A1,cited by other
10322228,2,2005/0228272,2005-10-01,Yu,A1,cited by applicant
10755923,1678,2017/0117141,2017-04-01,Zhu et al.,A1,cited by applicant
10641013,25,2014/0267740,2014-09-01,Almomani et al.,A1,cited by applicant
9011242,54,2009/0172795,2009-07-01,Ritari et al.,A1,cited by applicant
10863277,1,2012/0002822,2012-01-01,Peissig et al.,A1,cited by applicant
10478181,228,2007/0073341,2007-03-01,Smith et al.,A1,cited by applicant
10139820,726,2016/0261310,2016-09-01,Fuchs et al.,A1,cited by applicant
8911471,335,2012/0238824,2012-09-01,Widenhouse et al.,A1,cited by applicant
10836613,7,2019/0241408,2019-08-01,Strahl,A1,cited by examiner
8527861,86,2008/0247519,2008-10-01,Abella et al.,A1,cited by applicant
10522786,17,2016/0046103,2016-02-01,Hong et al.,A1,cited by applicant
10582014,14,2003/0163413,2003-08-01,Wiczkowski,A1,cited by applicant
9626653,21,2005/0228665,2005-10-01,Kobayashi,A1,cited by applicant
11228182,10,2004/0027112,2004-02-01,Kondo et al.,A1,cited by applicant
11284916,125,2008/0095421,2008-04-01,Sun et al.,A1,cited by applicant
10432766,3,2012/0281869,2012-11-01,Takewa,A1,cited by examiner
11114188,214,2015/0257689,2015-09-01,Al-Ali et al.,A1,cited by applicant
9479553,41,2003/0030680,2003-02-01,Cofta et al.,A1,cited by applicant
8108977,33,2008/0040265,2008-02-01,Rackley et al.,A1,cited by other
9860761,15,2013/0034000,2013-02-01,Huo,A1,cited by examiner
8660680,62,2006/0026193,2006-02-01,Hood,A1,cited by applicant
11240617,24,2019/0251720,2019-08-01,Hariton,A1,cited by examiner
10938693,50,2010/0223621,2010-09-01,Joshi et al.,A1,cited by applicant
8811548,42,2008/0080644,2008-04-01,Batruni,A1,cited by applicant
10213107,27,2012/0226132,2012-09-01,Wong,A1,cited by examiner
7076059,5,2003/0023950,2003-01-01,Ma et al.,A1,cited by examiner
10552829,29,2016/0267605,2016-09-01,Lingham et al.,A1,cited by applicant
10901601,97,2011/0096174,2011-04-01,King et al.,A1,cited by applicant
8306281,4,2004/0073543,2004-04-01,Kim et al.,A1,cited by examiner
10535902,31,2011/0200868,2011-08-01,Klaassen,A1,cited by applicant
9984428,255,2013/0185307,2013-07-01,El-Yaniv et al.,A1,cited by applicant
10456689,122,2011/0300923,2011-12-01,VanLuchene,A1,cited by applicant
8953886,4,2002/0075298,2002-06-01,Schena et al.,A1,cited by applicant
10989536,5,2012/0101716,2012-04-01,Kim,A1,cited by applicant
9675482,63,2005/0137680,2005-06-01,Ortiz et al.,A1,cited by applicant
11224519,174,2013/0131820,2013-05-01,Wentorf et al.,A1,cited by applicant
D883268,1,2011/0266316,2011-11-01,Ghalib et al.,A1,cited by applicant
10544899,18,2014/0077961,2014-03-01,Frederick,A1,cited by examiner
11370724,1,2002/0150522,2002-10-01,Heim et al.,A1,cited by applicant
9648918,17,2011/0185471,2011-08-01,Buczkowski,A1,cited by examiner
7886567,0,2002/0044439,2002-04-01,Shiokawa,A1,cited by examiner
11370266,66,2009/0015023,2009-01-01,Fleckner,A1,cited by applicant
10603840,51,2016/0144566,2016-05-01,Mark et al.,A1,cited by applicant
8369165,0,2008/0080272,2008-04-01,Jang,A1,cited by examiner
10264337,24,2015/0341712,2015-11-01,Wilcox,A1,cited by examiner
9720404,69,2010/0077254,2010-03-01,Erdmann et al.,A1,cited by applicant
10779826,829,2017/0056000,2017-03-01,Nalagatla et al.,A1,cited by applicant
11104071,19,2008/0278535,2008-11-01,Yamada et al.,A1,cited by applicant
8613698,49,2002/0083949,2002-07-01,James,A1,cited by applicant
9063778,20,2006/0236322,2006-10-01,Brackman,A1,cited by examiner
7705633,11,2003/0189465,2003-10-01,Abadeer et al.,A1,cited by other
9436810,91,2007/0124251,2007-05-01,Shimizu et al.,A1,cited by examiner
9080425,118,2013/0266031,2013-10-01,Norton,A1,cited by applicant
10143760,12,2013/0137104,2013-05-01,Cost et al.,A1,cited by applicant
8307342,7,2005/0004786,2005-01-01,Thomason,A1,cited by other
8468126,205,2007/0167178,2007-07-01,Al-Harbi,A1,cited by applicant
10664035,24,2017/0308153,2017-10-01,Chou,A1,cited by examiner
10855548,98,2018/0059628,2018-03-01,Yoshida,A1,cited by applicant
11129256,301,2014/0303757,2014-10-01,Pruchniewski et al.,A1,cited by applicant
11039351,4,2009/0129339,2009-05-01,Young et al.,A1,cited by applicant
11426790,12,2017/0113265,2017-04-01,Slavens,A1,cited by applicant
11115350,18,2012/0275430,2012-11-01,Wang et al.,A1,cited by applicant
10095176,3,2008/0081277,2008-04-01,Nakamura,A1,cited by examiner
8888672,18,2005/0256539,2005-11-01,George et al.,A1,cited by applicant
10161084,10,2010/0051217,2010-03-01,Allen et al.,A1,cited by applicant
10468411,5,2013/0146987,2013-06-01,Hung et al.,A1,cited by applicant
11421610,1,2011/0106413,2011-05-01,Park et al.,A1,cited by applicant
7895906,8,2008/0122308,2008-05-01,Mleux,A1,cited by examiner
11070349,7,2010/0303143,2010-12-01,Takeda,A1,cited by examiner
8364802,18,2009/0172662,2009-07-01,Liu,A1,cited by applicant
8841463,2,2010/0286118,2010-11-01,Ford et al.,A1,cited by applicant
10696725,17,2018/0311315,2018-11-01,Oh et al.,A1,cited by applicant
9277957,57,2007/0213754,2007-09-01,Mikkaichi et al.,A1,cited by applicant
8532807,330,2009/0222016,2009-09-01,Park et al.,A1,cited by applicant
8407805,35,2005/0187937,2005-08-01,Kawabe et al.,A1,cited by applicant
10837564,5,2013/0306167,2013-11-01,Sisk,A1,cited by examiner
9650545,9,2006/0062955,2006-03-01,Liu et al.,A1,cited by applicant
9540615,25,2002/0142457,2002-10-01,Umezawa et al.,A1,cited by applicant
10719658,251,2010/0150522,2010-06-01,Schmehl,A1,cited by applicant
10929545,63,2017/0178237,2017-06-01,Wong,A1,cited by applicant
9928692,36,2007/0298874,2007-12-01,Baerlocher,A1,cited by applicant
9411944,109,2005/0245308,2005-11-01,Amaitis et al.,A1,cited by applicant
8545972,11,2005/0081787,2005-04-01,Im et al.,A1,cited by applicant
7755132,9,2005/0199939,2005-09-01,Lutze et al.,A1,cited by examiner
9877723,1043,2016/0220247,2016-08-01,Timm et al.,A1,cited by applicant
8616159,5,2006/0214425,2006-09-01,Yamamoto et al.,A1,cited by examiner
7309964,11,2005/0156542,2005-07-01,Lin,A1,cited by examiner
10737110,68,2011/0112613,2011-05-01,Gerlitz et al.,A1,cited by applicant
7732343,79,2006/0211260,2006-09-01,Tran,A1,cited by other
9611133,4,2004/0070018,2004-04-01,Keeth,A1,cited by examiner
8496601,540,2005/0112712,2005-05-01,Ouyang,A1,cited by applicant
8215815,118,2007/0188425,2007-08-01,Saccomanno,A1,cited by other
11128648,2,2012/0317306,2012-12-01,Radinsky et al.,A1,cited by applicant
9314274,131,2007/0173745,2007-07-01,Diederich et al.,A1,cited by applicant
8826082,0,2007/0036544,2007-02-01,Fukashiro et al.,A1,cited by examiner
9177510,21,2008/0180385,2008-07-01,Yoshida et al.,A1,cited by applicant
10790191,71,2018/0130671,2018-05-01,Duan et al.,A1,cited by applicant
9786127,48,2009/0227377,2009-09-01,Yin,A1,cited by applicant
10952273,31,2018/0220344,2018-08-01,Shaheen,A1,cited by examiner
D964510,4,2015/0307365,2015-10-01,Baird,A1,cited by examiner
9167550,64,2005/0076246,2005-04-01,Singhal,A1,cited by applicant
8765165,38,2006/0128016,2006-06-01,Tokushima et al.,A1,cited by applicant
9430101,17,2010/0164881,2010-07-01,Kuo et al.,A1,cited by examiner
9886297,29,2015/0212844,2015-07-01,Tsirkin et al.,A1,cited by applicant
9251329,222,2006/0110537,2006-05-01,Huang et al.,A1,cited by applicant
7613830,1,2003/0212818,2003-11-01,Klein et al.,A1,cited by other
9318922,46,2012/0280765,2012-11-01,Kurs et al.,A1,cited by applicant
9539003,122,2003/0078617,2003-04-01,Schwartz et al.,A1,cited by applicant
11324014,78,2017/0055202,2017-02-01,Uchiyama,A1,cited by examiner
8584081,16,2008/0222617,2008-09-01,Fernando et al.,A1,cited by applicant
8919025,17,2010/0000400,2010-01-01,Brown,A1,cited by applicant
9462804,4,2004/0077498,2004-04-01,Lynch,A1,cited by applicant
9859793,5,2011/0181261,2011-07-01,Kalechshtein,A1,cited by examiner
10364078,2,2009/0081451,2009-03-01,Galoff,A1,cited by applicant
11384563,10,2010/0072761,2010-03-01,Tomaszewski,A1,cited by examiner
8221355,97,2003/0187395,2003-10-01,Wilkinson et al.,A1,cited by other
10349417,329,2015/0304855,2015-10-01,Perlman et al.,A1,cited by applicant
10365785,118,2011/0141142,2011-06-01,Leffert et al.,A1,cited by applicant
11446034,538,2010/0310623,2010-12-01,Laurencin et al.,A1,cited by applicant
10033642,246,2011/0286457,2011-11-01,Ee,A1,cited by applicant
8844023,7,2006/0059398,2006-03-01,Chang et al.,A1,cited by examiner
10177142,83,2011/0176357,2011-07-01,Koyama et al.,A1,cited by applicant
10441369,67,2004/0097987,2004-05-01,Pugsley et al.,A1,cited by applicant
10325885,2,2002/0102760,2002-08-01,Gottfried,A1,cited by applicant
8200520,67,2004/0003042,2004-01-01,Horvitz et al.,A1,cited by other
10893148,6,2018/0084389,2018-03-01,Snyder et al.,A1,cited by applicant
8501804,7,2006/0258728,2006-11-01,Tani et al.,A1,cited by applicant
11119544,6,2015/0201530,2015-07-01,Liu,A1,cited by examiner
9558931,98,2010/0025796,2010-02-01,Dabiran,A1,cited by applicant
9367479,0,2004/0255026,2004-12-01,Blount et al.,A1,cited by examiner
9697334,16,2004/0181528,2004-09-01,Tirinato et al.,A1,cited by applicant
10416405,269,2009/0257726,2009-10-01,Redmann et al.,A1,cited by applicant
8127872,0,2006/0260302,2006-11-01,Sakikawa,A1,cited by other
8478603,37,2004/0075582,2004-04-01,Bergan et al.,A1,cited by applicant
8666905,9,2007/0245158,2007-10-01,Giobbi et al.,A1,cited by examiner
10506088,2,2016/0372113,2016-12-01,David,A1,cited by examiner
10016805,124,2016/0217093,2016-07-01,Whittington et al.,A1,cited by applicant
11068899,267,2014/0019352,2014-01-01,Shrivastava,A1,cited by applicant
7657500,4,2004/0059734,2004-03-01,Smith et al.,A1,cited by examiner
10312080,0,2011/0159669,2011-06-01,Yang,A1,cited by applicant
11000393,124,2007/0118203,2007-05-01,Chermoni,A1,cited by applicant
10945742,53,2009/0216113,2009-08-01,Meier et al.,A1,cited by applicant
11423452,25,2005/0035200,2005-02-01,Hendrick,A1,cited by applicant
10208109,93,2005/0249725,2005-11-01,Schenk et al.,A1,cited by applicant
9971983,11,2007/0046458,2007-03-01,Toyokawa et al.,A1,cited by applicant
10632445,103,2007/0269870,2007-11-01,Church et al.,A1,cited by applicant
9729459,1,2012/0275301,2012-11-01,Xiong,A1,cited by examiner
10979945,14,2016/0073345,2016-03-01,Fan,A1,cited by examiner
10185331,14,2012/0282914,2012-11-01,Alexander,A1,cited by applicant
10798121,252,2010/0306173,2010-12-01,Frank,A1,cited by applicant
9759923,2,2003/0227595,2003-12-01,Krumme,A1,cited by applicant
9162716,2,2009/0295191,2009-12-01,Fidan et al.,A1,cited by applicant
10459184,300,2010/0080517,2010-04-01,Cline et al.,A1,cited by applicant
10191590,4,2014/0049485,2014-02-01,Oh et al.,A1,cited by applicant
9577186,47,2008/0078985,2008-04-01,Meyer et al.,A1,cited by applicant
10832177,96,2003/0036941,2003-02-01,Leska et al.,A1,cited by applicant
8499390,0,2007/0186351,2007-08-01,Linn et al.,A1,cited by applicant
8076674,2,2004/0113922,2004-06-01,Choe et al.,A1,cited by other
9185995,36,2010/0258513,2010-10-01,Meyer et al.,A1,cited by applicant
11414802,4,2007/0295035,2007-12-01,Lim,A1,cited by applicant
9795399,239,2007/0219562,2007-09-01,Slone et al.,A1,cited by applicant
10854498,1152,2012/0175751,2012-07-01,Gatineau et al.,A1,cited by applicant
11455677,21,2005/0033605,2005-02-01,Bergeron et al.,A1,cited by applicant
9253319,4,2004/0028203,2004-02-01,Wurster et al.,A1,cited by applicant
10477602,13,2014/0168056,2014-06-01,Swaminathan,A1,cited by applicant
10743256,5,2009/0141661,2009-06-01,Li et al.,A1,cited by applicant
9137299,1,2006/0149632,2006-07-01,Register et al.,A1,cited by applicant
10386637,0,2007/0132663,2007-06-01,Iba,A1,cited by examiner
9679843,23,2010/0072263,2010-03-01,Gruber et al.,A1,cited by applicant
11003485,102,2013/0232486,2013-09-01,Chen et al.,A1,cited by applicant
9769191,1,2003/0065986,2003-04-01,Fraenkel,A1,cited by examiner
8437822,68,2001/0051767,2001-12-01,Williams et al.,A1,cited by applicant
10354011,1523,2010/0100384,2010-04-01,Ju et al.,A1,cited by applicant
10309788,151,2010/0100315,2010-04-01,Davidson et al.,A1,cited by applicant
10548600,824,2017/0055986,2017-03-01,Harris et al.,A1,cited by applicant
10277964,110,2015/0162646,2015-06-01,Kawase et al.,A1,cited by applicant
9808376,49,2008/0207296,2008-08-01,Lutnick et al.,A1,cited by applicant
8961609,92,2004/0133229,2004-07-01,Lambrecht et al.,A1,cited by applicant
8483100,25,2002/0114439,2002-08-01,Dunlap,A1,cited by examiner
10363813,3,2007/0181358,2007-08-01,Nakagaki,A1,cited by examiner
7849208,79,2002/0062333,2002-05-01,Anand,A1,cited by other
D951410,0,2004/0261780,2004-12-01,Frink,A1,cited by examiner
10333849,163,2015/0009831,2015-01-01,Graf,A1,cited by applicant
8317824,20,2007/0083231,2007-04-01,Lee,A1,cited by other
10521573,6,2008/0189420,2008-08-01,Herrod,A1,cited by examiner
9924942,36,2003/0220660,2003-11-01,Kortenbach et al.,A1,cited by applicant
10566212,63,2016/0013063,2016-01-01,Ranjan et al.,A1,cited by applicant
8291857,28,2012/0000422,2012-01-01,Lam et al.,A1,cited by examiner
10566774,8,2006/0162948,2006-07-01,Rinderer et al.,A1,cited by applicant
9058604,82,2010/0241496,2010-09-01,Gupta et al.,A1,cited by applicant
9630180,17,2004/0180346,2004-09-01,Anderson et al.,A1,cited by applicant
9952058,0,2011/0301813,2011-12-01,Sun et al.,A1,cited by applicant
7934573,16,2004/0186643,2004-09-01,Tanaka et al.,A1,cited by examiner
9970478,6,2011/0233872,2011-09-01,Iguchi,A1,cited by applicant
10194163,21,2006/0188168,2006-08-01,Sheraizin et al.,A1,cited by applicant
10485572,15,2005/0240176,2005-10-01,Oral et al.,A1,cited by applicant
10909522,348,2013/0173736,2013-07-01,Krzeminski et al.,A1,cited by applicant
11190590,98,2010/0187832,2010-07-01,Holland,A1,cited by applicant
8732569,20,2004/0267600,2004-12-01,Horvitz,A1,cited by applicant
9663582,9,2002/0192222,2002-12-01,Blumberg et al.,A1,cited by applicant
8856617,8,2007/0234110,2007-10-01,Soran et al.,A1,cited by applicant
9793148,318,2008/0298945,2008-12-01,Cox,A1,cited by examiner
11140322,76,2015/0142213,2015-05-01,Wang et al.,A1,cited by applicant
7972907,3,2002/0085334,2002-07-01,Figueroa et al.,A1,cited by other
9308199,12,2005/0090698,2005-04-01,Merkel et al.,A1,cited by applicant
8541633,27,2003/0114719,2003-06-01,Fischer et al.,A1,cited by applicant
10446273,93,2011/0295621,2011-12-01,Farooq et al.,A1,cited by applicant
10712616,4,2017/0146857,2017-05-01,Wang,A1,cited by examiner
8984297,3,2006/0161980,2006-07-01,Huitema et al.,A1,cited by examiner
10062637,64,2012/0256260,2012-10-01,Cheng et al.,A1,cited by applicant
10897882,2,2007/0256623,2007-11-01,Stroud,A1,cited by applicant
10693749,245,2014/0074946,2014-03-01,Dirstine et al.,A1,cited by applicant
7965467,4,2008/0037153,2008-02-01,Yoshizawa,A1,cited by other
11238349,258,2015/0146945,2015-05-01,Han,A1,cited by applicant
9669108,1,2004/0067503,2004-04-01,Tan et al.,A1,cited by applicant
9877020,0,2002/0135743,2002-09-01,Gindele,A1,cited by examiner
8660640,92,2008/0123910,2008-05-01,Zhu,A1,cited by applicant
8438082,0,2008/0071626,2008-03-01,Hill,A1,cited by examiner
9049667,43,2013/0094483,2013-04-01,Marinier et al.,A1,cited by applicant
D863074,30,2004/0016796,2004-01-01,Hanna et al.,A1,cited by applicant
10776518,35,2006/0253597,2006-11-01,Mujica,A1,cited by applicant
8885559,13,2008/0205417,2008-08-01,Li,A1,cited by applicant
9063882,35,2010/0318833,2010-12-01,Reichel et al.,A1,cited by applicant
10484667,14,2011/0025843,2011-02-01,Oggier,A1,cited by examiner
11053811,2,2008/0116009,2008-05-01,Sheridan et al.,A1,cited by applicant
10580502,32,2012/0281471,2012-11-01,Hung et al.,A1,cited by applicant
10564953,7,2004/0181777,2004-09-01,Fann,A1,cited by examiner
10091312,16,2002/0138335,2002-09-01,Palmer et al.,A1,cited by applicant
8728179,32,2008/0193989,2008-08-01,Verser et al.,A1,cited by applicant
10274139,41,2006/0288928,2006-12-01,Eom et al.,A1,cited by applicant
D642482,3,2003/0003199,2003-01-01,Perez,A1,cited by other
9172682,13,2004/0243703,2004-12-01,Demmer et al.,A1,cited by applicant
11141871,1,2015/0040403,2015-02-01,Campbell,A1,cited by applicant
8735785,3,2007/0187399,2007-08-01,Blankenbeckler et al.,A1,cited by examiner
