patent_id,rel_app_text
7263389,"CROSS REFERENCE TO RELATED APPLICATIONS This application is a continuation of U.S. application Ser. No. 10/441,007 filed May 20, 2003, now U.S. Pat. No. 7,003,326 and is based upon and claims the benefit of priority from the prior Japanese Patent Applications No. P2002-149417, filed on May 23, 2002; the entire contents of each of which are incorporated herein by reference."
8940246,"CROSS-REFERENCE TO RELATED APPLICATIONS This application is a continuation-in-part of U.S. Ser. No. 11/373,284, filed Mar. 13, 2006, which is herein incorporated by reference in its entirety."
RE42993,"CROSS-REFERENCE TO RELATED APPLICATION Notice: More than one reissue application has been filed for the reissue of U.S. Pat. No. 5,774,106. The reissue applications are application Ser. No. 09/324,168, now U.S. Pat. No. RE39,366; Ser. Nos. 11/406,488; 11/980,700; 11/980,691; and the present application: all of which are reissues of U.S. Pat. No. 5,774,106. This application is related to application Ser. No. 08/135,357 filed on Oct. 19, 1993, entitled “Liquid Crystal Display Driving Method/Driving Circuit Capable of Being Driven with Equal Voltages” which is assigned to the same assignee as the present application. The contents of application Ser. No. 08/135,537 are incorporated herein by reference. This application is a continuation reissue of application of U.S. reissue application No. 11/406,488, filed April 19, 2006 now U.S. Pat. No. Re. 40,973, which is a continuation reissue application of U.S. reissue application Ser. No. 09/324,168, filed Jun. 2, 1999, now U.S. Reissue Pat. RE 39,366, which is a reissue application of U.S. Pat. No. 5,774,106, issued Jun. 30, 1998, the subject matter of which is incorporated by reference herein. This application is related to continuation reissue U.S. application Ser. No. 11/980,691, filed Oct. 31, 2007, and continuation reissue U.S. application Ser. No. 11/980,700, filed Oct. 31, 2007, which are continuation reissues of continuation reissue U.S. application Ser. No. 11/406,488, filed Apr. 19, 2006."
9827524,"CROSS REFERENCE TO RELATED APPLICATIONS This application is a National Stage of PCT Application No. PCT/US2014/034448, filed Apr. 17, 2014, which claims priority to U.S. Provisional Patent Application No. 61/812,925 entitled “AIR FILTRATION CARTRIDGES HAVING AIR FLOW RECTIFICATION AND METHODS OF MAKING AIR FILTRATION CARTRIDGES HAVING AIR FLOW RECTIFICATION,” filed Apr. 17, 2013, The contents of both applications are herein incorporated by reference in their entirety and for all purposes."
11268087,"PRIORITY CLAIM

This application claims priority to U.S. Provisional Patent Application No. 63/030,283, filed May 26, 2020, and U.S. Provisional Patent Application No. 63/126,466, filed Dec. 16, 2020, the contents of which are hereby incorporated by reference in their entireties.

"
10702169,"The present application claims priority from Provisional Indian Application No. 201641005684 filed on Feb. 18, 2016, and Non-Provisional Indian Application No. 201641005684 filed on Dec. 13, 2016. The disclosure of each is hereby incorporated by reference."
10269083,"This application is a continuation of U.S. patent application Ser. No. 15/431,885 filed Feb. 14, 2017, which is a continuation of U.S. patent application Ser. No. 13/611,069 filed Sep. 12, 2012, which claims the benefit of Canadian Patent Application No. 2,788,573 filed Sep. 6, 2012. Each of these applications are incorporated herein by reference."
10390543,"This application claims priority to U.S. provisional application No. 62/186,026, filed Jun. 29, 2015, the disclosure of which is incorporated herein by reference."
10092894,"CROSS REFERENCE TO RELATED APPLICATIONS This application is a continuation-in-part of International Patent Application Nos. PCT/US2013/041211, filed May 15, 2013, and PCT/US2013/041207, filed May 15, 2013, which claim priority to Provisional Application No. 61/647,303, filed May 15, 2012, each application of which is incorporated herein by reference in its entirety."
8728906,"This application is a divisional of U.S. patent application Ser. No. 13/298,112, entitled “Methods for Epitaxially Growing Active Regions between STI Regions,” filed on Nov. 16, 2011, which application is incorporated herein by reference."
10643646,"This application claims priority under 35 U.S.C 119 to Japanese Patent Application No. 2018-125586 filed on Jun. 29, 2018 and Japanese Patent Application No. 2019-100047 filed on May 29, 2019. Each of the above applications is hereby expressly incorporated by reference, in its entirety, into the present application."
9427440,"This application is a divisional application of U.S. application Ser. No. 13/000,583, filed Jul. 8, 2009, which is a national stage application of PCT/EP2009/004942, filed Jul. 8, 2009, which claims priority benefit of Application No. EP08159965.6 filed Jul. 8, 2008, Application No. EP08160254.2 filed Jul. 11, 2008 and Application No. EP08161743.3 filed Aug. 4, 2008. The complete disclosures of the aforementioned related patent applications are hereby incorporated herein by reference for all purposes."
9421812,"CROSS-REFERENCE TO RELATED APPLICATIONS This application claims priority under 35 U.S.C. §119 to provisional application Ser. No. 61/831,192 filed Jun. 5, 2013, herein incorporated by reference in its entirety."
7534866,"RELATED APPLICATIONS The present application is a continuation-in-part of PCT Application Serial Nos. PCT/US2006/010762, filed Mar. 24, 2006; and PCT/US2006/012084, filed Mar. 29, 2006; and a continuation-in-part of U.S. patent application Ser. Nos. 11/389,358, filed Mar. 24, 2006; and 11/391,584, filed Mar. 28, 2006; and claims the benefit under 35 U.S.C. § 119(e) of provisional U.S. Patent Application Ser. Nos. 60/728,292, filed Oct. 19, 2005; 60/751,196, filed Dec. 16, 2005; and 60/782,332, filed Mar. 14, 2006, each cited application incorporated herein by reference in its entirety."
9048921,"CROSS REFERENCE TO RELATED APPLICATIONS This is a continuation of co-pending U.S. application Ser. No. 12/835,720 (filed on Jul. 13, 2010), which is a continuation-in-part of co-pending U.S. application Ser. No. 12/612,683 (filed on Nov. 5, 2009). The co-pending U.S. application Ser. No. 12/612,683 further claims the benefit of U.S. provisional application No. 61/141,847 (filed on Dec. 31, 2008). The co-pending U.S. application Ser. No. 12/835,720 further claims the benefit of U.S. provisional application No. 61/243,602 (filed on Sep. 18, 2009) and U.S. provisional application No. 61/318,840 (filed on Mar. 30, 2010). The entire contents of these related applications are incorporated herein by reference."
8499569,"CROSS-REFERENCE TO RELATED APPLICATIONS The present application claims the benefit of U.S. Provisional Patent Application No. 60/608,913, filed on Sep. 13, 2004 under 35 U.S.C. §119(e), the disclosure of which is expressly incorporated by reference herein in its entirety."
9246559,"RELATED APPLICATIONS This Application is a continuation-in-part of U.S. patent application Ser. No. 13/794,416, filed Mar. 11, 2013, entitled, “DISTRIBUTED ANTENNA SYSTEM FOR MIMO SIGNALS”. U.S. patent application Ser. No. 13/794,416 is a continuation-in-part application of U.S. patent application Ser. No. 12/634,212, filed Dec. 9, 2009, entitled “DISTRIBUTED ANTENNA SYSTEM FOR MIMO SIGNALS”, now issued U.S. Pat. No. 8,396,368, issued Mar. 12, 2013. U.S. patent application Ser. No. 13/794,416 is also a continuation of International Application No. PCT/US2011/062640, filed Nov. 30, 2011, entitled “DISTRIBUTED ANTENNA SYSTEM FOR MIMO SIGNALS”, which International Application in turn, claims priority to Italian Patent Application No. 2010A000714, filed Dec. 1, 2010, entitled “DISTRIBUTED ANTENNA SYSTEM FOR MIMO SIGNALS”. The applications and disclosures are all hereby incorporated by reference in their entireties as though fully disclosed herein."
7561034,"CROSS-REFERENCE TO RELATED APPLICATION(S) The present application is a Continuation of U.S. patent application Ser. No. 10/816,430, filed Apr. 1, 2004, issued as U.S. Pat. No. 7,113,081, which claims priority from U.S. Provisional Patent Application No. 60/459,699, filed on Apr. 1, 2003, which are hereby incorporated in their entirety by reference thereto."
8741921,"RELATED APPLICATION This application is a divisional application of United States Non-provisional patent application Ser. No. 13/546,211, filed Jul. 11, 2012, which claims the benefit of U.S. Provisional Application Ser. No. 61/511,372, filed Jul. 25, 2011, all of which are incorporated here by reference in their entirety."
10913539,"CROSS REFERENCE TO RELATED APPLICATIONS

This application is a continuation of U.S. patent application Ser. No. 15/603,229 filed May 23, 2017, which is a continuation-in-part of U.S. patent application Ser. No. 14/942,734, filed Nov. 16, 2015, which claims the benefit of U.S. Provisional Application No. 62/132,433, filed Mar. 12, 2015, and U.S. Provisional Application No. 62/132,431, filed Mar. 12, 2015. U.S. patent application Ser. No. 15/603,229 also claims the benefit of U.S. Provisional Application No. 62/340,378, filed May 23, 2016 and U.S. Provisional Application No. 62/414,504, filed Oct. 28, 2016. All of the above listed applications are incorporated by reference herein in their entireties.

"
3936550,"This is a divisional application of application Ser. No. 133,207 filed Apr. 12, 1971 now U.S. Pat. No. 3,719,538 patented Mar. 6, 1973, and assigned to the assignee of the present invention. "
4455089,"This is a continuation-in-part application of Ser. No. 411,472, filed Aug. 25, 1982 now abandoned. "
10079042,"RELATED APPLICATION This application is a continuation-in-part of U.S. patent application Ser. No. 14/986,683, filed on Jan. 2, 2016 and entitled “THERMALLY CONDUCTIVE AND VIBRATION DAMPING ELECTRONIC DEVICE ENCLOSURE AND MOUNTING”, now issued as U.S. Pat. No. 9,804,644, issued on Oct. 31, 2017, which claims the priority of U.S. Provisional 62/099,194, filed on Jan. 1, 2015 and entitled “APPARATUS AND METHOD FOR USING THERMALLY CONDUCTIVE PLASTIC FOR ELECTRONIC DEVICE ENCLOSURE AND MOUNTING” all of which is hereby incorporated by reference in its entirety."
10906868,"This application is a continuation application of International Application No. PCT/JP2017/044166, filed on Dec. 8, 2017, which claims the benefit of priority of the prior Japanese Patent Application No. 2016-239488 filed in Japan on Dec. 9, 2016, the entire contents of which are incorporated herein by reference.

"
10593515,"This application is the U.S. national stage application of International Application PCT/AU2016/000214, filed Jun. 21, 2016, which international application was published on Dec. 29, 2016, as International Publication WO 2016/205857 in the English language. The International Application claims priority of Australia Patent Application No. 2015902421, filed Jun. 23, 2015. The international application and Australian application are both incorporated herein by reference, in entirety."
10387864,"This application is a continuation of U.S. application Ser. No. 13/905,863, filed May 30, 2013. U.S. application Ser. No. 13/905,863 is incorporated herein by reference in its entirety."
8201604,"CROSS-REFERENCE TO RELATED APPLICATIONS This patent application claims the benefit of U.S. Provisional Patent Application No. 61/230,896, filed Aug. 3, 2009, which is incorporated by reference."
7861488,"RELATED APPLICATIONS This application claims priority to U.S. Provisional Application Ser. No. 60/939,749, titled Corrugated Decking Flooring System, filed May 23, 2007, the contents of which are hereby incorporated by reference."
9589480,"CROSS-REFERENCE TO RELATED APPLICATIONS This application is a continuation of U.S. application Ser. No. 13/794,011, filed Mar. 11, 2013, which is a continuation of U.S. application Ser. No. 13/789,266, filed Mar. 7, 2013, which is a continuation of U.S. application Ser. No. 12/617,871, filed Nov. 13, 2009, which is a divisional of U.S. application Ser. No. 10/645,713, filed Aug. 20, 2003, which is a continuation of International App. No. PCT/US02/04947, filed Feb. 20, 2002, which claims the benefit of U.S. Provisional App. No. 60/270,400, filed Feb. 20, 2001. The contents of each of these applications are expressly incorporated herein by reference thereto in their entireties."
10513392,"This application is a continuation of U.S. patent application Ser. No. 16/047,903, filed Jul. 27, 2018, which is a continuation of U.S. patent application Ser. No. 15/610,421, filed May 31, 2017, which claims the benefit of U.S. Provisional Patent Application No. 62/344,306, filed Jun. 1, 2016, all of which are incorporated herein by reference in their entireties."
8409654,"REFERENCE TO RELATED APPLICATIONS This application claims priority under 35 USC 119(e) from U.S. Provisional Patent Application Nos. 61/202,055 filed Jan. 26, 2009 and 61/272,289 filed Sep. 8, 2009."
11298475,"CROSS-REFERENCE TO RELATED APPLICATIONS

This application is a continuation of U.S. patent application Ser. No. 13/020,354, filed Feb. 3, 2011, which claims priority to, and the benefit of, U.S. Provisional Patent Application Ser. No. 61/309,606, filed Mar. 2, 2010. The entire contents of each of these disclosures are hereby incorporated by reference.

"
10531707,"The present application claims the benefit of U.S. Provisional Application No. 62/522,426 filed Jun. 20, 2017, which is hereby incorporated herein in its entirety by reference."
11444550,"INCORPORATION BY REFERENCE TO ANY PRIORITY APPLICATIONS

Any and all applications for which a foreign or domestic priority claim is identified in the Application Data Sheet as filed with the present application are hereby incorporated by reference under 37 CFR 1.57. This application claims the benefit of U.S. Provisional Application No. 63/183,165, filed May 3, 2021, which is hereby incorporated herein in its entirety.

"
11232780,"CROSS REFERENCE TO RELATED APPLICATIONS

This U.S. patent application claims priority under 35 U.S.C. § 119(e) to U.S. Provisional Application 63/069,431, filed on Aug. 24, 2020. The disclosure of this prior application is considered part of the disclosure of this application and is hereby incorporated by reference in its entirety.

"
11019915,"CROSS REFERENCE TO RELATED APPLICATIONS

The present application is a Divisional of U.S. patent application Ser. No. 15/161,378 filed May 23, 2016 and granted as U.S. Pat. No. 10,251,472 on Apr. 9, 2019.

"
10955500,"CROSS-REFERENCE TO RELATED APPLICATIONS

This application claims priority under 35 U.S.C. § 120 and is a continuation (CON) of U.S. patent application Ser. No. 14/938,430, filed Nov. 11, 2015, entitled “PULSE SEQUENCES FOR LOW FIELD MAGNETIC RESONANCE”, which claims priority under 35 U.S.C. § 119(e) to U.S. Provisional Patent Application Ser. No. 62/078,378, filed Nov. 11, 2014 and entitled “Pulse Sequences for Low Field Magnetic Resonance,” which is herein incorporated by reference in its entirety.

"
7166057,"RELATED APPLICATIONS This application is a continuation of and claims priority to U.S. application Ser. No. 10/770,966 filed on Feb. 3, 2004, which issued as U.S. Pat. No. 6,949,049 on Sep. 27, 2005, which claims priority from U.S. application Ser. No. 10/134,097 filed on Apr. 25, 2002, which issued as U.S. Pat. No. 6,689,012 on Feb. 2, 2004, which in turn claims priority from U.S. Provisional Application No. 60/286,803, filed Apr. 26, 2001. The entire disclosure of each of those applications is hereby incorporated by reference."
9552461,"CROSS-REFERENCE TO RELATED APPLICATIONS This application claims the benefit of U.S. Provisional Patent Application No. 61/347,680, filed May 24, 2010 entitled “Food Preparation System and Method,” which is incorporated herein by reference in its entirety."
7756852,"PRIORITY CLAIM; RELATED APPLICATION This application claims benefit of prior U.S. Provisional Application Ser. No. 60/538,485, “entitled “Executing a Group of Database Statements” filed by Ajay Sethi, et al., on Jan. 21, 2004 and is related to Ser. No. 10/837,173, entitled “Support for Executing a Group of Database Statements”, filed by Ajay Sethi, et al. on Apr. 30, 2004, the contents of which are herein incorporated by reference as if originally set forth herein."
9486082,"CROSS-REFERENCE TO RELATED APPLICATIONS This application claims priority of U.S. Provisional Patent Application Ser. No. 61/806,445 filed Mar. 29, 2013."
10975539,"CROSS REFERENCE TO RELATED APPLICATION

This application claims priority under 35 USC § 119 to U.S. Provisional Patent Application No. 62/886,721 filed on Jun. 26, 2019, the contents of which are hereby incorporated by reference in its entirety.

"
9754558,"CROSS-REFERENCE TO RELATED APPLICATIONS Under 35 U.S.C. §119, this application claims benefit of U.S. Provisional Application Ser. No. 61/661,149, filed Jun. 18, 2012, the entire contents of which are hereby incorporated by reference."
10309257,"This application claims priority to and the benefit of U.S. Provisional Patent Application No. 62/126,951, filed 2 Mar. 2015, the disclosure of which is now expressly incorporated herein by reference."
11271072,"CROSS REFERENCE TO RELATED APPLICATIONS

This application claims the benefit of Provisional Application Ser. No. 62/620,777 entitled “Method For High Density Deep Trench Capacitor Warpage Control” filed Jan. 23, 2018, which is incorporated herein by reference in its entirety. This application is a divisional of U.S. patent application Ser. No. 16/028,862, filed Jul. 6, 2018, issued as U.S. Pat. No. 10,559,650, which is incorporated herein by reference in its entirety

"
8008806,"CROSS-REFERENCE TO RELATED APPLICATION This application is a continuation of U.S. patent application Ser. No. 12/218,426, entitled “METERING PUMP POWER SOURCE” filed on Jul. 18, 2008 by Thomas Day."
8637865,"CROSS-REFERENCE TO RELATED APPLICATIONS This application is a continuation of U.S. application Ser. No. 13/169,544, filed Jun. 27, 2011, now U.S. Pat. No. 8,378,403 which claims the benefit of a foreign priority application filed in Japan as Serial No. 2010-152021 on Jul. 2, 2010, both of which are incorporated by reference."
7554145,"RELATED APPLICATION AND PRIORITY CLAIM This application is a Divisional Application of U.S. patent application Ser. No. 10/906,357, entitled “Magnetic Memory Cells and Manufacturing Methods,” filed Feb. 15, 2005, which is herein incorporated by reference in its entirety for all purposes."
8637639,"CROSS-REFERENCING This application is a continuation of U.S. patent application Ser. No. 12/803,328, filed Jun. 23, 2010, now U.S. Pat. No. 8,260,596 which application is a continuation of U.S. patent application Ser. No. 12/288,097, filed Oct. 15, 2008, now U.S. Pat. No. 7,790,850 which application claims the benefit of provisional patent application Ser. No. 61/000,176 filed Oct. 17, 2007."
8832772,"RELATED APPLICATION This application is a continuation-in-part (CIP) application of Ser. No. 10/315,460 filed Dec. 10, 2002 entitled, “A PPARATUS AND M ETHOD FOR W IRELESS V IDEO G AMING ”, now U.S. Pat. No. 7,849,491, which is assigned to the assignee of the present CIP application."
4890272,"This application is a continuation, of application Ser. No. 018,489, filed Feb. 25, 1987 now abandoned. "
7671061,"RELATED APPLICATIONS This application claims the benefit of priority to U.S. provisional application Ser. Nos. 60/753,665, filed Dec. 22, 2005, and 60/817,892, filed Jun. 29, 2006. The specifications of each of the foregoing applications are hereby incorporated by reference in their entirety."
10667602,"CROSS-REFERENCES This application is a Continuation Application of U.S. patent application Ser. No. 15/720,855, filed Sep. 29, 2017, which is a Continuation Application of U.S. patent application Ser. No. 15/400,034, filed Jan. 6, 2017, which is a Continuation Application of U.S. patent application Ser. No. 15/135,156, filed Apr. 21, 2016, which is a Continuation Application of U.S. patent application Ser. No. 14/795,627, filed Jul. 9, 2015, which is a Continuation of U.S. patent application Ser. No. 14/340,074 filed Jul. 24, 2014, which is a Continuation of U.S. patent application Ser. No. 13/964,870, filed Aug. 12, 2013, which is a Continuation of Ser. No. 13/191,170, filed Jul. 26, 2011, which claims the benefit of U.S. Provisional Application No. 61/369,430, filed Jul. 30, 2010, U.S. Provisional Application No. 61/369,392, filed Jul. 30, 2010, and U.S. Provisional Application No. 61/412,456, filed Nov. 11, 2010, the content each of which is hereby incorporated by reference in its entirety."
10717880,"CROSS-REFERENCE TO RELATED APPLICATION This application is a divisional application of U.S. patent application Ser. No. 13/808,266, filed Jan. 4, 2013, pending, which is the National Phase of International Application PCT/EP2011/060982 filed Jun. 30, 2011, which designated the U.S. and which was published in English and which claims priority to European App. No. 10168903.2 filed Jul. 8, 2010. The noted applications are incorporated herein by reference."
9341017,"CROSS-REFERENCE TO RELATED APPLICATIONS This application is a continuation-in-part application of U.S. patent application Ser. No. 13/303,561 filed on Nov. 23, 2011 and claims priority to U.S. Provisional Application No. 61/837,901, filed on Jun. 21, 2013. The entire disclosure of the above application is incorporated herein by reference."
6959542,"This application is a continuation-in-part of commonly assigned, pending U.S. patent application Ser. No. 10/246,118, filed on Sep. 18, 2002 which claims priority to U.S. Provisional Patent Application Ser. No. 60/351,580, filed on Jan. 25, 2002, the entirety of both of which is hereby incorporated by reference."
9774653,"CROSS-REFERENCE TO RELATED APPLICATION This application is a continuation of U.S. application Ser. No. 13/829,657, filed Mar. 14, 2013, the entirety of which is hereby incorporated by reference herein."
10628748,"CROSS REFERENCE TO RELATED PATENTS This application claims the benefit of U.S. Provisional Patent Application No. 61/911,066 filed Dec. 3, 2013, which is incorporated by reference."
9327076,"The present application is a continuation of U.S. patent application Ser. No. 11/574,200 filed Feb. 23, 2007 which is incorporated by reference herein in its entirety."
10005590,"CROSS-REFERENCE TO RELATED APPLICATIONS This application is a continuation of and claims priority to U.S. Utility application Ser. No. 14/255,081 filed on Apr. 17, 2014, which claims priority to U.S. Provisional Application Ser. No. 61/975,523 filed on Apr. 4, 2014, and U.S. Provisional Application Ser. No. 61/937,439 filed on Feb. 7, 2014, all of which are hereby incorporated into this specification by reference in their entirety."
10838809,"This Application is a Continuation of U.S. application Ser. No. 15/677,414, filed on Aug. 15, 2017, now U.S. Pat. No. 10,372,532, which claims priority of U.S. Provisional Application No. 62/430,967, filed on Dec. 7, 2016, the entirety of which is incorporated by reference herein."
8157817,"CROSS REFERENCE RELATED APPLICATIONS This application is a continuation of international application number PCT/IE01/00094, filed Jul. 23, 2001, and claims the priority of Ireland Patent Application No. 2000/0591, filed Jul. 21, 2000, Ireland Patent Application No. 2000/1072, filed Dec. 21, 2000, and Ireland Patent Application No. 2000/1061, filed Dec. 21, 2000 the contents of all of which are incorporated herein by reference."
8624281,"CROSS-REFERENCE TO RELATED APPLICATIONS This application is a continuation under 35 U.S.C. Section 120 and commonly-assigned U.S. Utility patent application Ser. No. 12/163,510, filed on Jun. 27, 2008, by Frederic S. Diana, Steven P. DenBaars, and Shuji Nakamura, entitled “OPTICAL DESIGNS FOR HIGH-EFFICACY WHITE-LIGHT EMITTING DIODES”, now U.S. Pat. No. 7,868,341, issued on Jan. 11, 2011, which application claims the benefit under 35 U.S.C. Section 119(e) and commonly-assigned U.S. Provisional Patent Application Ser. No. 60/946,652, filed on Jun. 27, 2007, by Frederic S. Diana, Steven P.DenBaars, and Shuji Nakamura, entitled “OPTICAL DESIGNS FOR HIGH-EFFICACY WHITE-LIGHT EMITTING DIODES” both of which applications are incorporated by reference herein."
10800929,"This application is a National Stage application of PCT/AU2016/050245, filed Mar. 31, 2016, which claims benefit from U.S. Provisional Patent Application No. 62/141,084, filed Mar. 31, 2015, both of which are incorporated by reference in their entirety."
9509903,"CROSS REFERENCE TO RELATED APPLICATION The present application is a continuation of U.S. application Ser. No. 13/636,203, filed on Oct. 15, 2012, which is the National Stage of International Application No. PCT/JP2011/001547, filed on Mar. 16, 2011, and which claimed priority to Japanese Application No. 2010-079189, filed on Mar. 30, 2010. Each of the above-listed documents is hereby incorporated by reference in its entirety."
